Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,43.5,43.5,43.5,43.5,16.11473656,0
2000-01-04,43.5,43.5,43.5,43.5,16.11473656,0
2000-01-05,43.5,43.5,43.5,43.5,16.11473656,0
2000-01-06,43.5,43.5,43.5,43.5,16.11473656,0
2000-01-07,43.5,43.5,43.5,43.5,16.11473656,0
2000-01-10,43.5,43.5,43.5,43.5,16.11473656,0
2000-01-11,43.5,43.5,43.5,43.5,16.11473656,0
2000-01-12,43.5,43.5,43.5,43.5,16.11473656,0
2000-01-13,43.5,43.5,43.5,43.5,16.11473656,0
2000-01-14,43.5,43.5,43.5,43.5,16.11473656,0
2000-01-17,43.5,43.5,43.5,43.5,16.11473656,0
2000-01-18,43.5,43.5,43.5,43.5,16.11473656,0
2000-01-19,43.5,43.5,43.5,43.5,16.11473656,0
2000-01-20,43.5,43.5,43.5,43.5,16.11473656,0
2000-01-21,43.5,43.5,43.5,43.5,16.11473656,0
2000-01-24,43.5,43.5,43.5,43.5,16.11473656,0
2000-01-25,43.5,43.5,43.5,43.5,16.11473656,0
2000-01-26,43.5,43.5,43.5,43.5,16.11473656,0
2000-01-27,43.5,43.5,43.5,43.5,16.11473656,0
2000-01-28,43.5,43.5,43.5,43.5,16.11473656,0
2000-01-31,43.5,43.5,43.5,43.5,16.11473656,0
2000-02-01,43.5,43.5,43.5,43.5,16.11473656,0
2000-02-02,43.5,43.5,43.5,43.5,16.11473656,0
2000-02-03,43.5,43.5,43.5,43.5,16.11473656,0
2000-02-04,43.5,43.5,43.5,43.5,16.11473656,0
2000-02-07,43.5,43.5,43.5,43.5,16.11473656,0
2000-02-08,43.5,43.5,43.5,43.5,16.11473656,0
2000-02-09,43.5,43.5,43.5,43.5,16.11473656,0
2000-02-10,43.5,43.5,43.5,43.5,16.11473656,0
2000-02-11,43.5,43.5,43.5,43.5,16.11473656,0
2000-02-14,43.5,43.5,43.5,43.5,16.11473656,0
2000-02-15,43.5,43.5,43.5,43.5,16.11473656,0
2000-02-16,43.5,43.5,43.5,43.5,16.11473656,0
2000-02-17,43.5,43.5,43.5,43.5,16.11473656,0
2000-02-18,43.5,43.5,43.5,43.5,16.11473656,0
2000-02-21,43.5,43.5,43.5,43.5,16.11473656,0
2000-02-22,43.5,43.5,43.5,43.5,16.11473656,0
2000-02-23,43.5,43.5,43.5,43.5,16.11473656,0
2000-02-24,43.5,43.5,43.5,43.5,16.11473656,0
2000-02-25,43.5,43.5,43.5,43.5,16.11473656,0
2000-02-28,43.5,43.5,43.5,43.5,16.11473656,0
2000-02-29,43.5,43.5,43.5,43.5,16.11473656,0
2000-03-01,43.5,43.5,43.5,43.5,16.11473656,0
2000-03-02,43.5,43.5,43.5,43.5,16.11473656,0
2000-03-03,43.5,43.5,43.5,43.5,16.11473656,0
2000-03-06,43.5,43.5,43.5,43.5,16.11473656,0
2000-03-07,43.5,43.5,43.5,43.5,16.11473656,0
2000-03-08,43.5,43.5,43.5,43.5,16.11473656,0
2000-03-09,43.5,43.5,43.5,43.5,16.11473656,0
2000-03-10,43.5,43.5,43.5,43.5,16.11473656,0
2000-03-13,43.5,43.5,43.5,43.5,16.11473656,0
2000-03-14,43.5,43.5,43.5,43.5,16.11473656,0
2000-03-15,43.5,43.5,43.5,43.5,16.11473656,0
2000-03-16,28.79999924,28.79999924,28.79999924,28.79999924,10.66906738,11495
2000-03-17,28.79999924,28.79999924,28.79999924,28.79999924,10.66906738,0
2000-03-20,28.79999924,28.79999924,28.79999924,28.79999924,10.66906738,0
2000-03-21,28.79999924,28.79999924,28.79999924,28.79999924,10.66906738,0
2000-03-22,28.79999924,28.79999924,28.79999924,28.79999924,10.66906738,0
2000-03-23,28.79999924,28.79999924,28.79999924,28.79999924,10.66906738,0
2000-03-24,28.79999924,28.79999924,28.79999924,28.79999924,10.66906738,0
2000-03-27,28.79999924,28.79999924,28.79999924,28.79999924,10.66906738,0
2000-03-28,28.79999924,28.79999924,28.79999924,28.79999924,10.66906738,0
2000-03-29,28.79999924,28.79999924,28.79999924,28.79999924,10.66906738,0
2000-03-30,28.79999924,28.79999924,28.79999924,28.79999924,10.66906738,0
2000-03-31,28.79999924,28.79999924,28.79999924,28.79999924,10.66906738,0
2000-04-03,28.79999924,28.79999924,28.79999924,28.79999924,10.66906738,0
2000-04-04,28.79999924,28.79999924,28.79999924,28.79999924,10.66906738,0
2000-04-05,28.79999924,28.79999924,28.79999924,28.79999924,10.66906738,0
2000-04-06,28.79999924,28.79999924,28.79999924,28.79999924,10.66906738,0
2000-04-07,28.79999924,28.79999924,28.79999924,28.79999924,10.66906738,0
2000-04-10,28.79999924,28.79999924,28.79999924,28.79999924,10.66906738,0
2000-04-11,28.79999924,28.79999924,28.79999924,28.79999924,10.66906738,0
2000-04-12,28.79999924,28.79999924,28.79999924,28.79999924,10.66906738,0
2000-04-13,25.99999809,25.99999809,25.99999809,25.99999809,9.631795883,37995
2000-04-14,25.99999809,25.99999809,25.99999809,25.99999809,9.631795883,0
2000-04-17,25.99999809,25.99999809,25.99999809,25.99999809,9.631795883,0
2000-04-18,25.99999809,25.99999809,25.99999809,25.99999809,9.631795883,0
2000-04-19,25.99999809,25.99999809,25.99999809,25.99999809,9.631795883,0
2000-04-20,25.99999809,25.99999809,25.99999809,25.99999809,9.631795883,0
2000-04-21,25.99999809,25.99999809,25.99999809,25.99999809,9.631795883,0
2000-04-24,25.99999809,25.99999809,25.99999809,25.99999809,9.631795883,0
2000-04-25,25.99999809,25.99999809,25.99999809,25.99999809,9.631795883,0
2000-04-26,25.99999809,25.99999809,25.99999809,25.99999809,9.631795883,0
2000-04-27,25.99999809,25.99999809,25.99999809,25.99999809,9.631795883,0
2000-04-28,25.99999809,25.99999809,25.99999809,25.99999809,9.631795883,0
2000-05-01,25.99999809,25.99999809,25.99999809,25.99999809,9.631795883,0
2000-05-02,25.99999809,25.99999809,25.99999809,25.99999809,9.631795883,0
2000-05-03,25.99999809,25.99999809,25.99999809,25.99999809,9.631795883,0
2000-05-04,25.99999809,25.99999809,25.99999809,25.99999809,9.631795883,0
2000-05-05,25.99999809,25.99999809,25.99999809,25.99999809,9.631795883,0
2000-05-08,25.99999809,25.99999809,25.99999809,25.99999809,9.631795883,0
2000-05-09,25.99999809,25.99999809,25.99999809,25.99999809,9.631795883,0
2000-05-10,25.99999809,25.99999809,25.99999809,25.99999809,9.631795883,0
2000-05-11,25.99999809,25.99999809,25.99999809,25.99999809,9.631795883,0
2000-05-12,25.99999809,25.99999809,25.99999809,25.99999809,9.631795883,0
2000-05-15,25.99999809,25.99999809,25.99999809,25.99999809,9.631795883,0
2000-05-16,25.99999809,25.99999809,25.99999809,25.99999809,9.631795883,0
2000-05-17,25.99999809,25.99999809,25.99999809,25.99999809,9.631795883,0
2000-05-18,25.99999809,25.99999809,25.99999809,25.99999809,9.631795883,0
2000-05-19,25.99999809,25.99999809,25.99999809,25.99999809,9.631795883,0
2000-05-22,25.99999809,25.99999809,25.99999809,25.99999809,9.631795883,0
2000-05-23,25.99999809,25.99999809,25.99999809,25.99999809,9.631795883,0
